"Name","Type_1","Type_2","Total","HP","Attack","Defense","Sp_Atk","Sp_Def","Speed","Generation","Legendary"
"Bulbasaur","Grass","Poison","318","45","49","49","65","65","45","1","False"
"Ivysaur","Grass","Poison","405","60","62","63","80","80","60","1","false"
"Venusaur","Grass","Poison","525","80","82","83","100","100","80","1","false"
"Charmander","Fire","","309","39","52","43","60","50","65","1","false"
"Charmeleon","Fire","","405","58","64","58","80","65","80","1","false"
"Charizard","Fire","Flying","534","78","84","78","109","85","100","1","false"
"Squirtle","Water","","314","44","48","65","50","64","43","1","false"
"Wartortle","Water","","405","59","63","80","65","80","58","1","false"
"Blastoise","Water","","530","79","83","100","85","105","78","1","false"
"Caterpie","Bug","","195","45","30","35","20","20","45","1","false"
"Metapod","Bug","","205","50","20","55","25","25","30","1","false"
